Fecha;pm25;so2;temperatura;humedad;ws;wd;radglobal;ppa
171017;6;2,26;13,833125;78,83794583;2,445292625;208,9089458;257,637625;759,75
171018;11;5,69;16,2272875;69,486075;3,577364;194,9620417;268,8783333;760,2958333
171019;18;19,31;15,67739583;69,5793;3,619438542;180,1206292;301,3268333;757,1166667
171020;14;4,83;14,30437083;72,1688;3,7796175;203,74;193,4333333;757,975
171021;17;5,89;16,30518333;64,04840417;2,695453375;191,8290542;305,3335417;757,9
171022;10;3,64;13,71960417;80,01212917;2,154713583;181,5892417;301,6946625;758,0375
171023;8;5,17;14,06640292;74,7511;2,322531933;164,7270333;276,0779208;759,0541667
171024;7;7,21;14,39795792;73,5527;3,449164167;182,0801417;283,3207083;759,7708333
171025;6;5,49;13,49756083;76,9838375;3,099980208;213,9268271;256,382375;759,0291667
171026;10;2,24;13,47853333;76,91618333;2,8596215;210,070375;192,8085;760,225
171027;11;8,25;13,87313458;77,5108875;2,577878917;191,9645208;289,5116667;758,3875
171028;7;2,42;13,89890833;73,5272875;2,652566308;214,1123292;176,732125;759,8541667
171029;8;1,92;14,01365833;61,26617917;4,743160833;205,4434583;294,585375;761,5166667
171030;8;5,58;13,19210917;67,0009375;3,365204708;191,0313125;305,18275;761,9458333
171031;10;25,04;12,22664292;77,23358333;1,740281333;193,6537458;285,6209167;760,4166667
171101;19;57,87;13,23697167;78,78305;1,331377333;189,673925;132,3004167;758,7791667
171102;9;5,08;14,83427917;80,1291875;1,669828833;214,2376625;171,873625;760,2375
171103;5;3,56;15,12243333;68,6832375;2,741324458;199,3831417;251,694625;759,9541667
