Fecha;pm25;so2;ws;wd
170821;17;5,64;1,525312917;140,303925
170822;11;2,34;1,707695958;125,3704458
170823;6;3,14;1,375627042;178,0345583
170824;7;2,92;1,245316792;160,4519933
170825;10;2,07;1,466201917;140,2397125
170826;13;6,6;1,317288708;172,2505458
170827;7;2,13;1,529099042;203,444675
170828;7;2,32;1,420771667;135,5142833
170829;8;6,23;2,421810667;180,8624083
170830;15;;1,667624125;136,1419458
170831;10;;1,492636083;178,1207542
170901;;;0,817083625;202,6341225
170902;9;2,81;1,884552333;173,75955
170903;14;5,83;2,076118167;174,0660792
170904;12;5,25;1,779979933;148,347875
170905;16;3,81;1,372940667;167,1185708
170906;12;4,72;1,31179575;125,3249363
170907;11;4,39;1,547060375;156,1223917
170908;7;4,38;1,616858083;200,820125
170909;14;4,45;1,078768042;158,5815483
170910;12;4,68;1,38099575;141,4191225
170911;15;10,46;1,745184979;183,8031458
170912;10;2,47;1,481186417;180,5079042
170913;12;4,14;0,996254125;134,9371417
170914;10;10,85;2,185092625;105,9351375
170915;19;7,25;1,832601125;183,4250792
170916;26;6,67;1,079969292;121,3447833
170917;19;6,04;0,925064333;150,1218042
170918;14;3,85;1,177036125;273,6404583
170919;11;2,39;1,707526167;197,5688083
170920;11;5,73;2,551879917;160,5496792
170921;14;16,07;2,308168333;193,6961875
170922;15;7,74;1,856823413;158,0848213
170923;16;10,6;1,665440542;190,944825
170924;11;9,85;1,991453333;197,657275
170925;14;9,65;1,933169917;160,1521425
170926;14;6,7;1,967039792;222,9968033
170927;15;2,54;1,706525125;235,9488625
170928;17;2,62;1,142093833;231,9200775
170929;17;12,12;1,544575167;171,4617208
170930;10;6;1,1083825;186,6119583
171001;10;12,53;2,619651917;155,9104042
171002;11;6,98;1,983543792;220,3179917
171003;10;5,92;1,638547375;187,924575
171004;7;3,49;2,323752917;244,898825
171005;9;3,81;1,869466038;179,870475
171006;11;9,71;2,26811625;222,5033333
171007;8;2,81;1,914547542;243,5250625
171008;11;12,12;2,201935708;172,6927792
171009;13;11,73;2,416022208;164,5810958
171010;11;10,54;2,830346667;205,6804
171011;7;5,98;2,099216375;172,9234417
171012;9;6,68;2,301209167;182,7379004
171013;14;7,99;2,14982625;197,4498375
171014;15;2,37;1,621131708;241,3092833
171015;14;2,16;1,801108583;188,4844413
171016;7;2,21;1,594351454;223,9348083
171017;7;4,27;2,206047333;179,9814083
171018;10;5,03;2,062423625;188,6224125
171019;13;9,48;2,300397125;201,8172025
171020;13;8,04;1,83828075;173,7174833
171021;15;4,99;2,079041667;220,6110875
171022;12;4,92;1,990920417;211,0955042
171023;15;5,43;1,853073792;192,5225215
171024;7;3,79;2,27825125;205,8975875
171025;10;5,94;2,103675208;236,0049833
171026;9;5,07;2,194878167;183,227425
171027;14;4,29;2,069286542;217,0762417
171028;7;3,84;2,148824542;185,9346083
171029;12;14,09;2,711315792;171,2420458
171030;9;7,35;2,517248125;156,6068792
171031;8;3,47;2,237386417;161,3475996
171101;12;6,66;1,581530333;174,72445
171102;8;4,3;1,616295917;193,3767708
171103;8;9,38;2,055323917;164,2332042
171104;7;4,32;1,396496792;178,2587667
171105;7;4,21;2,128615958;192,1911083
171106;5;4,02;1,723767833;226,3013458
171107;9;5,05;2,364645833;207,3642125
171108;10;11,72;2,416922083;182,596645
171109;13;10;2,523538792;200,6957404
171110;15;5,21;2,4073575;168,9783875
171111;19;2,8;1,892849;200,3600625
171112;16;2,58;1,91966625;169,0721458
171113;7;3,02;2,294272133;208,7136875
171114;8;11,24;1,434033208;222,6011958
171115;9;5,55;4,011297542;225,0825833
171116;12;10,03;3,045440971;170,4828888
171117;12;3,92;2,499458958;188,2438083
171118;14;3,91;2,649032333;186,7656
171119;12;3,1;2,067251042;206,3717792
171120;11;5,3;2,32342425;175,4563333
171121;15;5,44;2,454832375;159,1312917
171122;15;4,58;2,625976208;179,6873708
171123;11;2,13;1,625232458;181,5166458
171124;10;2,2;2,467323542;217,8228125
171125;13;4,01;2,509975333;167,0133583
171126;10;2,56;1,69219175;192,6220375
171127;8;5,47;1,59939475;248,41625
171128;7;2,25;1,621849375;272,84575
171129;9;2,97;2,432941208;195,14135
171130;11;2,27;2,490816667;175,9822417
171201;9;2,47;1,6855895;264,4837083
171202;11;2,91;2,00561625;229,88075
171203;9;3,71;2,875109958;211,1390708
